Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1785;AJI;Kunci Pas Ring Vanad 14;1pcs;12.500;0 %;12.500;15.000;0 %;15.000;;
RJ1784;AJI;Kunci Pas Ring Vanad 17;1pcs;15.000;0 %;15.000;17.500;0 %;17.500;;
RJ1788;AJI;Kunci Pas Ring Vanad 8;1pcs;8.500;0 %;8.500;10.000;0 %;10.000;;
RJ1765;AJI;Kunci Pintu Hongsu/set;1pcs;135.000;0 %;135.000;140.000;0 %;140.000;;
RJ1767;AJI;Kunci Pintu Mouza;1pcs;62.500;0 %;62.500;65.000;0 %;65.000;;
RJ1823;AJI;Kunci Pintu Tgg Isco Kotak;1pcs;47.500;0 %;47.500;50.000;0 %;50.000;;
RJ1766;AJI;Kunci Pintu Top;1pcs;35.000;0 %;35.000;40.000;0 %;40.000;;
RJ1217;AJI;Kunci Roofing 8x42 SAB;PCS;15.500;0 %;15.500;17.500;0 %;17.500;;
RJ1218;AJI;Kunci Roofing 8x65 SAB;PCS;17.500;0 %;17.500;20.000;0 %;20.000;;
RJ1800;AJI;KUNCI T 12;1pcs;11.500;0 %;11.500;15.000;0 %;15.000;;
RJ1801;AJI;KUNCI T 14;1pcs;13.500;0 %;13.500;17.500;0 %;17.500;;
RJ1799;AJI;KUNCI T 8;1pcs;11.000;0 %;11.000;12.500;0 %;12.500;;
RJ1798;AJI;KUNCI Y 8+10+12;1pcs;12.500;0 %;12.500;15.000;0 %;15.000;;
RJ1180;AJI;Lem Fox plastik Biru 0,35 Kg;PCS;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ1179;AJI;Lem Fox Plastik/orange/ Biru 0,6 Kg;PCS;16.000;0 %;16.000;17.500;0 %;17.500;;
RJ1811;AJI;Makita Cb 51;Pak;22.500;0 %;22.500;5.000;0 %;5.000;;
